(16,36,1816)
(6,9,456)
(39,10,539)
(10,3,160)
(3,30,1503)
(34,21,1084)
(41,33,1691)
(31,42,2131)
(33,40,2033)
(5,45,2255)
(7,10,507)
(16,4,216)
(49,29,1499)
(33,33,1683)
(34,16,834)
(11,17,861)
(20,14,720)
(32,2,132)
(37,31,1587)
(8,7,358)
(18,39,1968)
(35,16,835)
(0,41,2050)
(44,27,1394)
(39,21,1089)
(19,4,219)
(30,12,630)
(42,32,1642)
(15,34,1715)
(45,40,2045)
(3,29,1453)
(9,3,159)
(2,15,752)
(15,8,415)
(3,4,203)
(46,26,1346)
(26,25,1276)
(29,22,1129)
(45,13,695)
(14,12,614)
(1,5,251)
(25,29,1475)
(37,7,387)
(38,36,1838)
(21,24,1221)
(45,17,895)
(4,13,654)
(16,20,1016)
(38,23,1188)
(33,35,1783)
(28,36,1828)
(11,25,1261)
(8,35,1758)
(45,44,2245)
(1,2,101)
(35,19,985)
(0,38,1900)
(15,43,2165)
(40,36,1840)
(13,11,563)
(32,41,2082)
(18,5,268)
(36,31,1586)
(38,5,288)
(30,23,1180)
(7,36,1807)
(16,5,266)
(14,46,2314)
(2,12,602)
(17,43,2167)
(26,40,2026)
(10,27,1360)
(9,31,1559)
(3,19,953)
(44,38,1944)
(17,27,1367)
(6,47,2356)
(47,31,1597)
(10,22,1110)
(17,25,1267)
(31,25,1281)
(4,3,154)
(4,30,1504)
(30,27,1380)
(9,18,909)
(14,20,1014)
(9,2,109)
(45,1,95)
(15,48,2415)
(36,37,1886)
(41,22,1141)
(16,13,666)
(4,37,1854)
(34,46,2334)
(16,26,1316)
(32,1,82)
(28,34,1728)
(7,26,1307)
(22,44,2222)
(33,34,1733)
(27,49,2477)
(10,5,260)
(24,1,74)
(14,9,464)
(44,11,594)
(42,38,1942)
(5,46,2305)
(48,1,98)
(16,49,2466)
(20,10,520)
(48,21,1098)
(37,22,1137)
(33,4,233)
(18,15,768)
(5,41,2055)
(0,6,300)
(18,23,1168)
(8,15,758)
(33,21,1083)
(0,7,350)
(21,6,321)
(44,43,2194)
(18,6,318)
(30,17,880)
(49,0,49)
(19,13,669)
(12,0,12)
(9,4,209)
(44,5,294)
(28,13,678)
(39,42,2139)
(26,10,526)
(2,31,1552)
(19,43,2169)
(15,40,2015)
(43,44,2243)
(37,30,1537)
(8,27,1358)
(5,39,1955)
(9,34,1709)
(10,43,2160)
(36,12,636)
(34,2,134)
(17,11,567)
(32,28,1432)
(45,31,1595)
(4,7,354)
(1,38,1901)
(2,3,152)
(47,34,1747)
(18,27,1368)
(48,17,898)
(36,19,986)
(47,7,397)
(4,24,1204)
(21,12,621)
(5,40,2005)
(35,42,2135)
(9,15,759)
(33,38,1933)
(13,16,813)
(14,36,1814)
(30,16,830)
(45,41,2095)
(3,31,1553)
(23,11,573)
(45,43,2195)
(39,27,1389)
(33,15,783)
(2,40,2002)
(43,40,2043)
(14,18,914)
(41,21,1091)
(8,29,1458)
(19,14,719)
(6,33,1656)
(39,12,639)
(45,21,1095)
(1,9,451)
(19,24,1219)
(29,44,2229)
(41,19,991)
(42,13,692)
(46,6,346)
(11,37,1861)
(9,25,1259)
(3,2,103)
(6,15,756)
(23,24,1223)
(5,42,2105)
(23,26,1323)
(26,34,1726)
(1,41,2051)
(18,41,2068)
(38,12,638)
(47,15,797)
(2,16,802)
(37,36,1837)
(43,15,793)
(24,17,874)
(2,28,1402)
(24,30,1524)
(43,16,843)
(22,26,1322)
(5,28,1405)
(5,3,155)
(31,15,781)
(9,10,509)
(9,20,1009)
(30,43,2180)
(28,17,878)
(8,6,308)
(5,34,1705)
(48,48,2448)
(10,19,960)
(0,37,1850)
(40,7,390)
(13,9,463)
(15,6,315)
(47,35,1797)
(12,32,1612)
(37,48,2437)
(10,33,1660)
(21,2,121)
(29,24,1229)
(20,39,1970)
(41,44,2241)
(10,13,660)
(28,14,728)
(35,44,2235)
(17,5,267)
(34,12,634)
(13,12,613)
(42,21,1092)
(43,7,393)
(34,45,2284)
(43,31,1593)
(2,22,1102)
(26,16,826)
(3,45,2253)
(13,25,1263)
(11,7,361)
(29,48,2429)
(3,8,403)
(12,30,1512)
(17,2,117)
(30,2,130)
(18,9,468)
(38,30,1538)
(48,0,48)
(0,25,1250)
(30,0,30)
(29,14,729)
(0,27,1350)
(44,14,744)
(43,13,693)
(30,18,930)
(10,4,210)
(5,0,5)
(33,17,883)
(33,36,1833)
(25,27,1375)
(27,11,577)
(21,3,171)
(4,49,2454)
(19,15,769)
(47,13,697)
(27,39,1977)
(47,41,2097)
(5,47,2355)
(29,46,2329)
(11,40,2011)
(25,48,2425)
(48,31,1598)
(18,13,668)
(33,11,583)
(12,24,1212)
(38,0,38)
(3,39,1953)
(40,46,2340)
(20,31,1570)
(4,1,54)
(34,19,984)
(4,33,1654)
(7,3,157)
(23,49,2473)
(11,32,1611)
(18,18,918)
(4,10,504)
(23,14,723)
(46,8,446)
